name,phone,email,consent,last_visit,lifetime_value
Winston Thibodeaux,+1 617 555 0172,winston.thibodeaux@example.com,Y,2024/08/08,$916
Ozzie Sandoval,+1 212 555 0128,ozzie.sandoval59@example.com,yes,2025-10-18,"$3,207"
Sloane Brightwater,1-312-555-0196,sloane.brightwater@example.com,1,2025-09-24,"$3,284.76"
Nadia Farrow,2125550131,nadia.farrow83@example.com,TRUE,2024-07-28,$251
Silas Dupree,1-786-555-0106,silas.dupree@example.com,yes,,553.1
Lucinda Kirkbride,1-305-555-0129,lucinda.kirkbride@example.com,1,21 Aug 2024,"1,784"
Marguerite Bellweather,(512) 555-0158,marguerite.bellweather@example.com,1,05/26/25,"$1,059"
Devon Ashgrove,+1 702 555 0168,devon.ashgrove82@example.com,Y,2024/06/07,2557.5
Reggie Okonjo,1-617-555-0191,reggie.okonjo83@example.com,Yes,2024-05-29,
Cleo Beaumont,213-555-0128,cleo.beaumont@example.com,granted,2025-02-19,281.9
Hollis A. Rosenblum,415.555.0136,,yes,2025/09/06,2321.4
Rashida Kirkbride,6175550185,rashida.kirkbride6@example.com,Y,2025/05/20,"1,697"
Junie Solano,(305) 555-0137,junie.solano@example.com,true,18 Oct 2024,0
Reggie Abernathy,1-617-555-0134,reggie.abernathy23@example.com,opt_in,12/04/2024,$142
Ozzie Fontaine,213-555-0133,,0,05/01/24,"$3,156.00"
Ezra Thibodeaux,  (305) 555-0184 ,ezra.thibodeaux@example.com,1,2024/06/26,0
Bo Dupree,1-512-555-0187,bo.dupree@example.com,opt_in,,"1,417"
Marcus Yildirim,  (617) 555-0112 ,marcus.yildirim@example.com,TRUE,05/13/25,"$2,489.24"
Trey Fairweather,415-555-0181,trey.fairweather@example.com,y,2024/10/18,0
Isadora Prewitt,555-0142,isadora.prewitt95@example.com,Yes,2025/01/14,3937.1
Malachi Larkspur,(212) 555-0174,malachi.larkspur53@example.com,N,,"1,421"
Hollis Rosenblum,4155550136,hollis.rosenblum@example.com,granted,26 Jul 2024,
Amara Larkspur,(213) 555-0172,amara.larkspur@example.com,opted_in,2025-10-10,129.7
Bo Fontaine,404-555-0164,bo.fontaine@example.com,granted,03/01/2024,"$3,086"
Neveah Kirkbride,212.555.0115,neveah.kirkbride6@example.com,t,,985.9
Marisol Ravensworth,2135550110,marisol.ravensworth@example.com,consented,,3227.9
Bo Cavanaugh,  (312) 555-0104 ,bo.cavanaugh@example.com,unknown,4 May 2024,"3,969"
Kwame Mwangi,+1 415 555 0146,vaughn.colefax90@example.com,yes,10/09/2025,"$2,740"
Sloane Okonjo,+1 213 555 0107,sloane.okonjo@example.com,y,25 Dec 2024,"$2,417"
Elias Haverford,(312) 555-0168,elias.haverford38@example.com,Yes,2025/04/03,"2,729"
Ezra Ashgrove,213.555.0141,ezra.ashgrove@example.com,t,"Dec 4, 2024",$307.85
Omar Zamora,7865550160,omar.zamora36@example.com,t,,0
Wendell Nakamura,+1 305 555 0168,wendell.nakamura@example.com,yes,2025-05-27,"$2,801.18"
Priya Delacroix,  (617) 555-0190 ,,Y,16 Sep 2024,"3,167"
Rosalind Bergström,  (702) 555-0143 ,rosalind.bergstrom@example.com,yes,2025/07/22,
Fitz Nwachukwu,+1 312 555 0197,,t,,3310.2
Dana Boateng,(617) 555-0140,,Yes,21 Feb 2025,2566.7
Wendell Cavanaugh,(512) 555-0147,wendell.cavanaugh@example.com,No,03/07/2024,2590.2
Verity Ivanković,  (212) 555-0119 ,verity.ivankovic@example.com,opted_in,"Feb 14, 2024","$2,617.43"
Delphine Ravensworth,  (404) 555-0152 ,delphine.ravensworth@example.com,no,"Jun 10, 2025","$3,610.86"
Otis Brightwater,(305) 555-0161,otis.brightwater31@example.com,1,06/24/2024,"1,684"
Winston Rosenblum,212-555-0121,winston.rosenblum@example.com,consented,"Mar 30, 2024","$4,157.42"
Dana Prewitt,512-555-0108,dana.prewitt@example.com,unknown,06/14/25,95.7
Malachi Haverford,305-555-0131,malachi.haverford@example.com,no,,"3,397"
Verity Kirkbride,3125550123,,opt_in,,545.1
Ignacio Farrow,213-555-0145,ignacio.farrow@example.com,N,09/07/2025,0
Fitz Marchetti,1-212-555-0129,fitz.marchetti@example.com,1,06/17/24,
Perpetua Delacroix,786-555-0130,perpetua.delacroix@example.com,TRUE,10/23/2025,141
Marisol Mendelsohn,(015) 555-0133,marisol.mendelsohn40@example.com,opt_in,6 Jul 2025,
Cyrus Nwachukwu,213-555-0178,cyrus.nwachukwu@example.com,granted,2024/05/29,"$1,616"
Sloane Bellweather,404-555-0150,sloane.bellweather@example.com,Yes,,$154
Perpetua Cavanaugh,  (512) 555-0153 ,,opted_in,"Nov 18, 2024",
Kwame Okafor,213.555.0101,kwame.okafor@example.com,Yes,30 Jul 2025,0
Dana Petrakis,512-555-0190,dana.petrakis@example.com,Yes,11/19/25,0
Ozzie Whitlock,+1 786 555 0199,ozzie.whitlock@example.com,,5 Apr 2024,
Ozzie Osei,404.555.0131,ozzie.osei@example.com,1,01/14/25,"$2,529"
Sloane Solano,404.555.0102,sloane.solano@example.com,true,21 Mar 2025,"$3,575.91"
Winston Larkspur,(415) 555-0131,winston.larkspur93@example.com,TRUE,2024/02/13,0
Tessa Beaumont,1-786-555-0131,tessa.beaumont@example.com,consented,2025-10-14,
